date,places
14.08.2024,"Балчик, Безводица, Горун, Добрич, Дропла, Змеево, Зърнево, Каварна, Могилище, Сенокос, Сноп, Тервел, Шабла"
13.08.2024,"Балчик, Бдинци, Безводица, Владимирово, Вратарите, Врачанци, Добрич, Долина, Дропла, Златия, Змеево, Зърнево, Изворово, Каварна, Козлодуйци, Одринци, Орлова могила, Попгригорово, Рогачево, Самуилово, Сенокос, Спасово, Тервел"
12.08.2024,"Ангеларий, Балик, Балчик, Бдинци, Белгун, Владимирово, Вратарите, Врачанци, Граничар, Добрич, Долина, Дуранкулак, Златия, Каварна, Камен, Козлодуйци, Коларци, Овчарово, Одринци, Оногур, Орлова могила, Паскалево, Пчеларово, Рогачево, Самуилово, Твърдица, Тервел, Топола, Хаджи Димитър, Шабла"
10.08.2024,"Ангеларий, Балик, Добрич, Дъбовик, Зърнево, Каварна, Калина, Камен, Коларци, Пленимир, Присад, Равнец, Тервел, Топола"
09.08.2024,"Ангеларий, Балик, Балчик, Безводица, Добрич, Дончево, Дъбовик, Житница, Каварна, Калина, Коларци, Оногур, Пленимир, Спасово, Твърдица, Тервел"
08.08.2024,"Александрия, Балчик, Батово, Бистрец, Българево, Габер, Добрич, Дъбовик, Загорци, Земенци, Каварна, Коларци, Конаре, Кранево, Кремена, Крушари, Огняново, Одърци, Оногур, Плачидол, Пленимир, Попгригорово, Присад, Равнец, Селце, Соколник, Тервел, Топола"
07.08.2024,"Балчик, Бдинци, Брястово, Владимирово, Горун, Добрич, Каварна, Къпиново, Лясково, Подслон, Попгригорово, Раковски, Соколник, Тервел, Шабла"
06.08.2024,"Балчик, Безводица, Белгун, Божурово, Василево, Добрич, Дропла, Змеево, Зърнево, Каварна, Крушари, Лозенец, Ново Ботево, Опанец, Преселенци, Рогачево, Росеново, Сенокос, Тервел, Тянево, Храброво, Шабла"
05.08.2024,"Балчик, Граничар, Добрич, Дропла, Ефрейтор Бакалово, Змеево, Каварна, Крушари, Орляк, Пчелино, Стражица, Тервел, Хаджи Димитър, Шабла"
04.08.2024,"Ангеларий, Балик, Балчик, Белгун, Българево, Добрич, Дропла, Дъбовик, Змеево, Каварна, Коларци, Ново Ботево, Оногур, Пленимир, Присад, Равнец, Тервел, Царичино"
03.08.2024,"Балчик, Добрич, Дропла, Змеево, Зърнево, Приморци, Тервел"
02.08.2024,"Балчик, Безводица, Белгун, Ведрина, Добрич, Зърнево, Каварна, Крушари, Ново Ботево, Победа, Северняк, Тервел, Тригорци, Тянево, Царичино, Шабла"
01.08.2024,"Балчик, Войниково, Гешаново, Добрич, Дончево, Зърнево, Кранево, Крушари, Оброчище, Пленимир, Попгригорово, Сенокос, Тервел"
31.07.2024,"Абрит, Александрия, Балчик, Бистрец, Божурово, Габер, Горун, Добрич, Загорци, Земенци, Каварна, Калина, Камен, Камен бряг, Крушари, Миладиновци, Огняново, Северци, Тервел, Тюленово, Царичино, Шабла"
30.07.2024,"Александрия, Балчик, Батово, Бистрец, Бонево, Великово, Габер, Горун, Добрич, Загорци, Земенци, Каблешково, Каварна, Камен, Камен бряг, Крушари, Огняново, Пчеларово, Раковски, Сираково, Соколово, Стожер, Тервел, Тюленово, Хаджи Димитър, Черноморци, Честименско, Шабла"
29.07.2024,"Балчик, Батово, Безмер, Добрич, Ефрейтор Бакалово, Житен, Каварна, Камен, Камен бряг, Коларци, Крушари, Раковски, Самуилово, Смолница, Спасово, Тервел, Царичино, Шабла"
27.07.2024,"Божаново, Добрич, Шабла"
26.07.2024,"Балчик, Великово, Вранино, Гешаново, Гурково, Добрич, Дропла, Зърнево, Каварна, Карапелит, Котленци, Крупен, Малка Смолница, Орляк, Подслон, Смолница, Тервел"
25.07.2024,"Александрия, Балчик, Батово, Бистрец, Божаново, Габер, Гешаново, Добрич, Загорци, Земенци, Зърнево, Каварна, Карапелит, Крупен, Крушари, Ловчанци, Миладиновци, Нейково, Оброчище, Огняново, Одърци, Орляк, Подслон, Поручик Кърджиево, Северци, Славеево, Соколник, Стефаново, Твърдица, Тервел, Узово, Храброво, Шабла"
24.07.2024,"Александрия, Бистрец, Габер, Добрич, Загорци, Земенци, Изворово, Каварна, Крупен, Крушари, Къпиново, Ловчанци, Миладиновци, Огняново, Победа, Смолница, Снягово, Стефаново"
23.07.2024,"Александрия, Балчик, Бистрец, Божаново, Воднянци, Габер, Добрево, Добрич, Загорци, Земенци, Каварна, Котленци, Кочмар, Крупен, Крушари, Ловчанци, Ломница, Миладиновци, Овчарово, Огняново, Паскалево, Победа, Сенокос, Сираково, Сливенци, Стефан Караджа, Тервел, Топола, Узово, Царевец, Шабла"
