name,latitude,longitude
Абрит,43.90748,27.79569
Александрия,31.1991806,29.8951716
Александър Стамболийски,43.6853674,28.3577138
Алцек,43.77492,27.54257
Ангеларий,43.82895,27.52446
Балик,43.80135,27.58339
Балканци,43.59729,28.16287
Балчик,43.4259186,28.1602967
Батово,43.4132878,27.9609619
Бдинци,43.52416,27.51953
Бежаново,43.7126284,28.391185
Безводица,43.52262,27.9722
Безмер,42.4772899,26.3954499
Белгун,43.6014179,28.3208499
Бенковски,41.37797,25.25901
Било,42.956111,22.7475
Бистрец,42.3164401,27.0193499
Бобовец,43.44031,28.08683
Богдан,48.0405394,24.3609175
Божан,43.75968,27.45614
Божаново,43.61943,28.49203
Божурец,43.4233872,28.2955773
Божурово,43.70381,27.76243
Бонево,43.729313,27.3806778
Бранище,43.5273033,27.8462499
Брестница,42.4422076,22.4677801
Брястово,43.4588156,28.2102505
Българево,43.402908,28.4122149
Ваклино,43.6478286,28.5057207
Василево,41.4742136,22.6439393
Ведрина,43.5067516,27.6663983
Великово,43.64381,28.23287
Видно,43.5666329,28.3837938
Вичово,43.74354,28.31758
Владимирово,43.55502,27.52811
Воднянци,43.74578,27.54871
Войниково,43.70333,27.36615
Вранино,43.52588,28.30612
Вратарите,43.51781,27.54343
Врачанци,43.61583,27.78058
Габер,42.8972458,22.861171
Генерал Колево,43.64741,27.94362
Генерал Тошево,43.7001477,28.0362083
Гешаново,43.65797,27.53103
Главанци,43.7300407,27.2582403
Горица,40.6158967,20.7772187
Горичане,43.5303167,28.4555516
Горун,43.4953433,28.4855855
Градини,43.78079,27.88736
Градница,42.95751,24.95693
Граничар,42.13542,27.24303
Гурково,42.6577054,25.7932924
Гуслар,43.83551,27.44275
Дебрене,43.388035,27.8643694
Добрево,42.024151,22.1970554
Добрин,50.147776,26.4942777
Добрич,43.66377745,27.90021225939759
Долина,48.9782308,23.9789588
Дончево,43.517129,27.7675647
Драганово,43.47713,27.7826
Дропла,42.910596,27.1989553
Дряновец,43.71599,27.55665
Дуранкулак,43.6929646,28.5266661
Дъбовик,43.6887396,27.9581794
Дъбрава,43.06239,24.81874
Езерец,43.5952834,28.5368262
Енево,43.63935,27.52708
