date,failure_info
14.08.2024,"- Район Добрич: ЖК ""Дружба 1""
- Район Добрич-селска: с. Полк. Свещарово
- Район Балчик: Поради профилактика на ЕНЕРГО ПРО от 9 ч. до 17ч. на ПС Безводица с нарушено водоподаване ще бъдат селата; Безводица; Сенокос; Змеево; Дропла; Пряспа
- Район Каварна: с. Могилище
- Район Тервел: Поради изгоряла сондажна помпа на сондажен кладенец СК Зърнево без вода ще бъде с. Зърнево до отстраняване на аварията.
- Район Г. Тошево: с. Сноп
- Район Шабла: с. Горун
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
13.08.2024,"- Район Добрич: На 13. 08. 2024 г. В периода 09:00 ч. до 16:30
ч. поради извършване на обслужване на съоръженията за доставка на електроенергия, ще бъде прекъснато електрозахранването в ПС „Одринци“. Ще бъде нарушено водоподаването до 24 часа след приключването на авариите ще бъде възстановено в следните населени места: гр. Добрич района: кв. ""Рилци"" над ЖП гара юг, бивше ДЗС, казармите, рилските блокове, ул. ""Силистра"", ул. ""Хан Тервел"" от бензиностанция Шел до рилските блокове и др.
ул. Полковник Калотинов-водопроводна авария
кв. Рилци-ул. Петрохан-водопроводна авария
- Район Добрич-селска: На 13. 08. 2024 г. В периода 09:00 ч. до 16:30 ч. поради извършване на обслужване на съоръженията за доставка на електроенергия, ще бъде прекъснато електрозахранването в ПС „Одринци“, ПС „Долина“ и ПС „Орлова могила“. Нарушено водоподаване до 24 часа след приключването на авариите ще бъде възстановено в следните населени места: гр. Добрич района над ЖП гара юг, бивше ДЗС, казармите, рилските блокове, кв. Рилци, с. Одринци, с. Долина, с. Златия, с. Врачанци, с. Козлодуйци, с. Орлова могила, с. Самуилово, с. Владимирово, с. Бдинци, с. Вратарите.
с. Плачи дол; с. Попгригорово;
- Район Балчик: с. Рогачево; гр. Балчик-ул. Кирил и Методий;
Поради профилактика на ЕНЕРГО ПРО от 9 ч. до 17ч. на ПС Безводица с нарушено водоподаване ще бъдат селата; Безводица; Сенокос; Змеево; Дропла; Пряспа;
- Район Каварна: гр. Каварна-ниска зона;
- Район Тервел: Поради изгоряла сондажна помпа на сондажен кладенец СК Зърнево без вода ще бъде с. Зърнево до отстраняване на аварията.
- Район Г. Тошево: с. Изворово; с. Спасово;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
12.08.2024,"- Район Добрич: На 13. 08. 2024 г. В периода 09:00 ч. до 16:30 ч. поради извършване на обслужване на съоръженията за доставка на електроенергия, ще бъде прекъснато електрозахранването в ПС „Одринци“. Ще бъде нарушено водоподаването до 24 часа след приключването на авариите ще бъде възстановено в следните населени места: гр. Добрич района: кв. ""Рилци"" над ЖП гара юг, бивше ДЗС, казармите, рилските блокове, ул. ""Силистра"", ул. ""Хан Тервел"" от бензиностанция Шел до рилските блокове и др.
- ЖК ""Добротица"" бл. 27 - нарушено водоподаване албенска Добротица,
- ЖК Дружба бл. 41
- Район Добрич-селска: На 13. 08. 2024 г. В периода 09:00 ч. до 16:30 ч. поради извършване на обслужване на съоръженията за доставка на електроенергия, ще бъде прекъснато електрозахранването в ПС „Одринци“, ПС „Долина“ и ПС „Орлова могила“. Нарушено водоподаване до 24 часа след приключването на авариите ще бъде възстановено в следните населени места: гр. Добрич района над ЖП гара юг, бивше ДЗС, казармите, рилските блокове, кв. Рилци, с. Одринци, с. Долина, с. Златия, с. Врачанци, с. Козлодуйци, с. Орлова могила, с. Самуилово, с. Владимирово, с. Бдинци, с. Вратарите.
- с. Паскалево,
- с. Камен,
- с. Овчарово
- Район Балчик: с. Рогачево, ПС Балчик
- Район Каварна: с. Хаджи Димитър, с. Белгун,
- ВЗ Топола - нарушено водоподаване до 3 часа след приключване на аварията
- Район Тервел: Поради изгоряла сондажна помпа на сондажен кладенец Коларци без вода ще са селата: Коларци, Балик, Ангеларий и Оногур.
- Район Г. Тошево: с. Пчеларово - 2 аварии
- Район Шабла: с. Твърдица,
- напорен водопровод ПС Дуранкулак - с. Граничар
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
10.08.2024,"- Район Добрич-селска: с. Камен
- Район Каварна: в. з. Топола с нарушено водоподаване поради авария
- Район Тервел: Поради изгоряла сондажна помпа на сондажен кладенец Коларци без вода ще са селата: Коларци, Балик, Ангеларий;
с. Зърнево
- Район Г. Тошево: СК Дъбовик - нарушено водоподзаване до отстранавяне на аварията в селата: Дъбовик, Пленимир, Равнец, Присад, Калина
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
09.08.2024,"- Район Добрич: кв. Рилци-ул. Твърдица; Лозята - район около Стадиона;
- Район Добрич-селска: с. Житница; с. Дончево;
- Район Балчик: с. Безводица.
- Район Каварна: гр. Каварна - висока зона; кв. Младост;
- Район Тервел: Поради изгоряла сондажна помпа на сондажен кладенец Коларци без вода ще са селата-Коларци; Балик; Ангеларий и Оногур, ул. Струма.
- Район Г. Тошево: с. Пленимир; с. Дъбовик; с. Калина; с. Спасово;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
08.08.2024,"- Район Добрич: ул. ""Брацигово"";
- Район Добрич-селска: с. Соколник без водоподаване тази вечер поради сериозна авария, ще бъде остранена на 8. 08. 2024г.;
- напорон водопровод ПС Батово 2 - с. Одърци;
- с. Плачидол

- с. Попгригорово - тази вечер без водоподаване поради сериозна авария, ще се продължи остраняването на аварията на 8. 08. 2024г.;
- Район Балчик: ВЗ Сборно място, с. Кремена, с. Кранево
- Район Каварна: - ПС Българево - ел. авария - нарушено е водоподаването за с. Българево до приключване на аварията.
с. Българево с нарушено водоподаване до 17:00 часа поради прекъснато ел. захранване от ЕРП;
- с. Селце - 2 аварии. Авариите са приключили водоподаването в: с. Селце, ВЗ Топола, с. Топола ще бъзе възстановено до 17:00 часа.
- Висока зона ще бъде без водоподаване на 8. 08. 2024г. от 8:30 до 14:00 часа.
- Район Тервел: - ПС Коларци - ел. авария, нарушено водоподаване в с. Оногур.
- гр. Тервел ул. ""Суха река""
- Район Г. Тошево: СК Дъбовик - нарушено водоподзаване до отстранавяне на аварията в селата: Дъбовик, Пленимир, Равнец, Присад.
- с. Конаре
- Район Крушари: напорен водопровод Крушари - с нарушено водоподаване до 17:00 ч. Без водоподаване ще бъдат следните села: Крушари, Земенци, Загорци, Полк. Дяково, Бистрец, Александрия, Габер и Огняново.
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
07.08.2024,"- Район Добрич: ул. Хан Тервел 167; ул. Генерал Колев; ул. Кирил и Методий - аварията е остранена и е пуснато водоподаването; Рилци - ул. Хемус, ул. Батенберг и ул. Чавдар - без водоподаване поради воден цикъл;
- Район Добрич-селска: с. Владимирово; с. Бдинци; с. Лясково; с. Подслон;
- с. Соколник без водоподаване тази вечер поради сериозна авария, ще бъде остранена на 8. 08. 2024г.;
- с. Попгригорово - тази вечер без водоподаване поради сериозна авария, ще се продължи остраняването на аварията на 8. 08. 2024г.;
- Район Балчик: гр. Балчик - ул. Варненска; с. Брястово; В. З. Овчаровски плаж; В. З. Сборно място;
- Район Каварна: с. Раковски - ще бъде въстановено водоподаването от 24 до 48 часа, поради това че се пълни водоема.;
- Каварна - Висока зона ще бъде без водоподаване на 8. 08. 2024г. от 8:30 до 14:00 часа.
- Район Г. Тошево: с. Къпиново;
- Район Шабла: с. Горун;
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
06.08.2024,"- Район Добрич: Района от ул. ""К. и Методий"" между ул. Сан Стефано и ул. Максим Горки ще бъде без водоподаване тази вечер до отстраняване на аварията.
кв. Рилци-ул. Владая; ул. А. Батенберг; ул. Маяк-нарушено водоподаване поради воден цикъл до 17. 00ч;
ул. ""Георги Измирлиев"" - района на р-т Мечока Бен до 14. 00ч
- Район Добрич-селска: с. Опанец до 17. 00ч; с. Ново Ботево - 3 аварии до 17. 00ч. Авариите са отстранени и се пълни  водоемът. Очаква се да има нормално водоподаване в късните часове тази вечер.
Поради профилактика на Енерго про без ел. захранване от 8. 00ч-13. 00ч ще бъде ПС ""Росеново"" - с нарушено водоподаване с. Росеново и с. Божурово;
На 07. 08. 2024г без ел. захранване от 8. 00ч до 17. 00ч поради профилакта на Енерго про ще бъде ПС ""Тянево""
Профилактика на ПС ""Безводица""
- Район Балчик: с. Сенокос, с. Пряспа, с. Дропла и с. Змеево - с нарушено водоподаване поради авария;
с. Рогачево; с. Храброво; КПС ""Гергана""
- Район Каварна: с. Белгун; с. Поручик чунчево
- Район Тервел: с. Зърнево; гр. Тервел - градски стадион; ПСОВ гр. Тервел
- Район Г. Тошево: гр. Г. Тошево - кв. Пастир; с. Василево; с. Преселенци
- Район Шабла: гр. Шабла
- Район Крушари: с. Лозенец
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
05.08.2024,"- Район Добрич: Северна промишлена зона с нарушено водоподаване;
ул. Ген. майор Стефан Попов; Авио града; ул. Калиакра; ул. Черно море; ул. Чайка;
кв. Рилци-ул. Владая; ул. А. Батенберг; ул. Маяк-нарушено водоподаване поради В. Ц.
- Район Добрич-селска: с. Пчелино.
- Район Балчик: с. Пряспа, с. Дропла и с. Змеево - с нарушено водоподаване  поради авария; ВЗ Сборно място, с. Стражица.
- Район Каварна: гр. Каварна - местност стрите лозя нарушено водоподаване до отстраняване на водопроводна авария на 05. 08. 2024 г. 17:00 часа.
с. Хаджи Димитър;
- Район Тервел: с. Мали Извор; с. Орляк;
- Район Г. Тошево: ул. З. Стоянов; ул. Шипка; ул. Д. Михайлов;
- Район Шабла: с. Граничар;
- Район Крушари: с. Крушари, с. Ефрейтор Бакалово.
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
04.08.2024,"- Район Добрич-селска: с. Ново Ботево с нарушено водоподаване
- Район Балчик: с. Пряспа, с. Дропла и с. Змеево - с нарушено водоподаване до 5. 08. 2024г. поради авария; с. Царичино
- Район Каварна: гр. Каварна - местност стрите лозя нарушено водоподаване до отстраняване на водопроводна авария на 05. 08. 2024 г. 17:00 часа.
- с. Белгун - нарушено водоподаване; с. Българево;
- Район Тервел: Аварията на ПС Коларци е приключила. -Водоподаването ще бъде възстановено до 12:00 часа в: с. Коларци, с. Ангеларий, с. Балик и с. Оногур
- Район Г. Тошево: СК Дъбовик - нарушено водоподзаване до отстранавяне на аварията в селата: Дъбовик, Пленимир, Равнец, Присад.
С настоящото съобщение, молим жителите на упоменатите райони в област Добрич да приемат нашите извинения за причинените им неудобства."
